기간	대분류	분류	반려동물 여부	반려동물 여부	반려동물 취득경로	반려동물 취득경로	반려동물 취득경로	반려동물 취득경로	반려동물 취득경로	반려동물 취득경로
기간	대분류	분류	있다	없다	동물판매업소	유상입양	무상입양	인터넷을 통해 구입	유기동물 입양	원래 기르던 동물이 낳은 새끼
2017	서울시	서울시	19.4	80.6	24.8	24.2	42.6	2	4.1	2.3
2017	성별	남자	18.6	81.4	26.4	24.4	40.7	2	3.8	2.7
2017	성별	여자	21.6	78.4	21	23.8	47.2	1.9	4.7	1.4
2017	연령별	20대 이하	19.4	80.6	19.8	20.5	47.9	2	8.4	1.5
2017	연령별	30대	17.3	82.7	29	27.5	34	4.2	3.5	1.9
2017	연령별	40대	19.1	80.9	30.3	24.9	37.7	1.6	4.1	1.3
2017	연령별	50대	23.6	76.4	25.8	22.5	42.6	1.8	3.3	4
2017	연령별	60대 이상	17.9	82.1	19.2	24.5	49.4	1	4	1.8
2017	학력별	중졸 이하	15.9	84.1	15.6	24.3	51.6	0.8	4.8	2.9
2017	학력별	고졸 이하	19.6	80.4	22.4	25.1	45.3	2	2.8	2.5
2017	학력별	대졸 이하	20.2	79.8	28.4	24.4	38.4	2.3	4.6	2
2017	학력별	대학원 이상	22.9	77.1	25.6	11.4	53	1	4.9	4
2017	주택형태	단독주택	19.7	80.3	23.4	21.4	46.6	2.3	4.1	2.3
2017	주택형태	아파트	20.7	79.3	24	26.9	41.2	2	4	1.9
2017	주택형태	다세대주택	15.9	84.1	23.6	29.1	37.3	1.6	5.6	2.8
2017	주택형태	연립/기타	17.3	82.7	34.5	16.8	40.7	1.4	2.8	3.8
2017	입주형태	자가	21.4	78.6	23.4	23.7	44.2	2	4.2	2.6
2017	입주형태	전세	18.2	81.8	26.7	24.3	41.5	1.6	3.7	2.2
2017	입주형태	월세/기타	17.7	82.3	25.4	25.1	41	2.3	4.3	1.8
2017	가구원수	1인	18.2	81.8	22.3	24.3	43.6	1.8	5.8	2.1
2017	가구원수	2인	20.8	79.2	22.8	23.7	45.5	2.5	3.2	2.2
2017	가구원수	3인	19.3	80.7	28.8	25.3	39.7	1.3	3.1	1.9
2017	가구원수	4인	19.4	80.6	27.9	24	40.6	2.1	3.1	2.2
2017	가구원수	5인 이상	20.1	79.9	21.5	22.9	41.7	2.6	6	5.3
2017	소득	100 만원 미만	13.7	86.3	15.2	19.6	59.6	-	5.1	0.5
2017	소득	100-200만 미만	16.3	83.7	12.6	22.3	57.3	1.8	3.2	2.7
2017	소득	200-300만 미만	17.9	82.1	21.6	25.3	45.3	2.4	4.9	0.5
2017	소득	300-400만 미만	17.3	82.7	28.8	24.1	39.2	2.1	3.6	2.2
2017	소득	400-500만 미만	22.3	77.7	30.5	24.6	38.4	2.1	2.3	2.1
2017	소득	500만원 이상	23.3	76.7	26.8	25	37.5	2	5	3.6
2017	지역대분류	도심권	23.7	76.3	24.8	19	44.9	1.2	7	3.1
2017	지역대분류	동북권	18.7	81.3	25.6	25.7	42.3	1.3	3.2	1.8
2017	지역대분류	서북권	19.9	80.1	28.3	23.9	42.7	2.1	2	1.1
2017	지역대분류	서남권	18.3	81.7	21	26.8	43.1	2.2	4.9	2
2017	지역대분류	동남권	20.6	79.4	26.8	20.6	41.5	2.8	4.4	3.9
2017	종로구	종로구	25.1	74.9	26	13.9	42.2	1.2	11.5	5.1
2017	중구	중구	18.3	81.7	25.9	18	40.4	1.2	7.1	7.5
2017	용산구	용산구	25.8	74.2	23.6	22.7	48.4	1.3	3.9	-
2017	성동구	성동구	20.1	79.9	15.1	26.6	49.5	2.5	5.6	0.7
2017	광진구	광진구	20	80	23.8	30.3	33.5	2.2	6.1	4.1
2017	동대문구	동대문구	14.8	85.2	28.5	23	43.1	0.6	3	1.8
2017	중랑구	중랑구	21.6	78.4	32.6	28.3	34.3	1.1	1.6	2.2
2017	성북구	성북구	23.2	76.8	29.2	17.2	47.3	0.7	3.2	2.4
2017	강북구	강북구	17.3	82.7	24	30.2	44.2	0.5	0.6	0.6
2017	도봉구	도봉구	19.1	80.9	22.9	31.5	38.4	2.6	3.3	1.2
2017	노원구	노원구	14.3	85.7	24.1	22.7	49.3	0.5	2.7	0.6
2017	은평구	은평구	16.6	83.4	21.7	24.1	46.8	3.7	2.6	1.1
2017	서대문구	서대문구	20.1	79.9	33.9	25.4	32.5	3.1	4.3	0.9
2017	마포구	마포구	23.7	76.3	30	22.7	46.2	-	-	1.2
2017	양천구	양천구	18.2	81.8	15.2	24.9	41.8	0.5	16.5	1.1
2017	강서구	강서구	19	81	19.3	32.5	40.4	1.6	5.6	0.6
2017	구로구	구로구	16.6	83.4	21.4	26.3	43	6.8	1.3	1.1
2017	금천구	금천구	21.1	78.9	7.4	28	58.8	0.4	3.9	1.6
2017	영등포구	영등포구	18.5	81.5	16.2	24.5	42.3	3.2	4.6	9.3
2017	동작구	동작구	21.2	78.8	31.1	27.4	39.9	1.6	-	-
2017	관악구	관악구	15.8	84.2	29.5	22.1	42.5	1.6	2.6	1.7
2017	서초구	서초구	18.2	81.8	20	18.8	49.6	3.7	1.3	6.6
2017	강남구	강남구	18.7	81.3	25.6	20.3	49.3	1.8	2	1
2017	송파구	송파구	25.3	74.7	31.9	23.8	28.4	3.3	7.5	5.1
2017	강동구	강동구	18.6	81.4	24.7	16.3	49.7	2.4	4.3	2.6
